Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
572	|	0.9354258401978582
17	|	0.8937379131973604
573	|	0.8774984689197473
566	|	0.8591620483519579
562	|	0.8568053153688595
8	|	0.8507746404139479
570	|	0.8274368181293736
19	|	0.8213199416488386
270	|	0.8190560805208056
26	|	0.7938985171349817
569	|	0.7832226267799379
28	|	0.7703258940954242
571	|	0.7594393894363497
267	|	0.7566387329419567
575	|	0.7556091152714141
276	|	0.7442808842181883
564	|	0.7396986753305949
14	|	0.7321531806023848
574	|	0.7284927638742403
31	|	0.7146741072351136
22	|	0.6981772504184702
6	|	0.6735398409747816
25	|	0.6661744779922883
560	|	0.6617436617207666
577	|	0.6607135661444761
29	|	0.6469593335405853
272	|	0.6438695222799897
264	|	0.6189760456568145
27	|	0.5992489131219344

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
260	|	0.7083973182424732
266	|	0.7302748861906858
256	|	0.7286306993756426
250	|	0.5631637203317074
254	|	0.8136030785882608
271	|	0.741012583357795
252	|	0.7277360172784312
265	|	0.7787256801870094
255	|	0.7448441489808801
262	|	0.7746600538464956
277	|	0.6404654817705954
263	|	0.8432701628816103
253	|	0.7470373954042712
275	|	0.6579564967524726
258	|	0.8115776121113443
273	|	0.8158528920832729

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
16	|	0.6820049833782541
565	|	0.724386167050447
2	|	0.6087382436231221
259	|	0.612833917390678
563	|	0.7250365904628485
568	|	0.6827254278840054
11	|	0.707743321038876
567	|	0.7342913695427387
13	|	0.7949499344252722
251	|	0.6212018064264774
23	|	0.6148150994665551
24	|	0.6198387461905476
3	|	0.7282842199286493
559	|	0.5817033022545942
9	|	0.749712415543336
561	|	0.7869332465915883
1	|	0.6510463177301625
589	|	0.6804110590077511
12	|	0.5952222854871682
582	|	0.646738310322869
10	|	0.8673943146831484
18	|	0.8833349596496947
269	|	0.6995486644726076
583	|	0.6320994260206728
576	|	0.7404820891431465
7	|	0.8836523422249705
5	|	0.9331613828978436
249	|	0.8326217291105927
261	|	0.7361185537865281
587	|	0.66288698752878
21	|	0.8322764348148948
579	|	0.8315255051035776
257	|	0.8042125974719146

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
20	|	0.6341353648537906
30	|	0.5585940358244686
4	|	0.5253102051252485
586	|	0.6005933345337401
578	|	0.6243906233066887
585	|	0.7124674609801971
279	|	0.7194267172503795
584	|	0.5994241922044151
588	|	0.6132592262875195
15	|	0.7093233208212804
278	|	0.7009398306893513
580	|	0.6763101495839786
581	|	0.6575873590723665
268	|	0.7134270261555687
274	|	0.733130052225451

