Partitioning gestures into 4 groups based on degree of membership
Gestures With Highest Degree of Membership for Principal Component 1:
Gesture	|	Score
566	|	0.1561245484458757
267	|	0.15588810702747855
272	|	0.15212423002225597
249	|	0.15036794237865583
265	|	0.1486904990124621
30	|	0.1486538817857251
564	|	0.1483143827936242
571	|	0.14736816886010523
251	|	0.1466860524868972
582	|	0.1452225850856442
261	|	0.1448792101625778
264	|	0.14447671494748981
562	|	0.14427951531177902
588	|	0.1440033223559705
576	|	0.14282087805635993
5	|	0.14205915836200989
577	|	0.14046875564747027
568	|	0.13999917647064697
263	|	0.13729308421430836
586	|	0.13662877885613844
573	|	0.13471810353065633
273	|	0.13413955091169277
259	|	0.13389093084818604
31	|	0.1326316615278972
575	|	0.13242583836646946
572	|	0.13224598047812214
560	|	0.12950025994187334
8	|	0.12656971003718792
569	|	0.12649140434129438
255	|	0.1259090388777683
17	|	0.12589517042378662
583	|	0.11675491482950454

Gestures With Highest Degree of Membership for Principal Component 2:
Gesture	|	Score
570	|	0.1299586575917724
14	|	0.14081909724279743
260	|	0.13498381720968872
262	|	0.14516521049087353
252	|	0.14665877584515963
254	|	0.14632308238242153
266	|	0.15323877582844145
253	|	0.15735019954654358
256	|	0.1670496829435132
271	|	0.16646361182105296
250	|	0.16945286991462682
559	|	0.1656523218152731
11	|	0.15815108537886166
1	|	0.16091779791712796
258	|	0.17370124238766568
270	|	0.1800048521359335
6	|	0.1908680427067574
4	|	0.19523637913508587
279	|	0.196725600135059
9	|	0.14733852366711822
2	|	0.18404495179470887
12	|	0.17703982416440545
28	|	0.19814548949586794

Gestures With Highest Degree of Membership for Principal Component 3:
Gesture	|	Score
24	|	0.13927932076435864
19	|	0.14057023338826222
15	|	0.1354957757831792
23	|	0.11228025077370281
581	|	0.13959597329500548
257	|	0.14350255986845056
565	|	0.14727835245991683
25	|	0.15118852281390277
579	|	0.15202177604308278
7	|	0.16964049319775373
21	|	0.14327369119720199
580	|	0.17230346045287412
3	|	0.15960045957840988
22	|	0.1684125942301343
578	|	0.17699206163797432
587	|	0.1874270930645729
274	|	0.19666396011685044
589	|	0.1957534010282429
10	|	0.18538729630506529
20	|	0.19990782500958615
29	|	0.20000203667476585
278	|	0.1927572147823425
268	|	0.19794762380941594
567	|	0.17830398279395776
16	|	0.1783473512393617
277	|	0.15396243177081764
275	|	0.19980479168160067

Gestures With Highest Degree of Membership for Principal Component 4:
Gesture	|	Score
574	|	0.1644683169014411
585	|	0.2846941495522705
18	|	0.23396441581418223
276	|	0.2877169242035905
269	|	0.2956268296902032
26	|	0.15114964012774249
27	|	0.327699984855888
563	|	0.28931867385798443
584	|	0.3326307416461651
561	|	0.1585679459574577
13	|	0.2550788308344853

